series_id,night,event,step,timestamp
18b61dd5aae8,15,wakeup,254292,2018-01-06T09:41:00-0500
18b61dd5aae8,16,onset,263424,2018-01-06T22:22:00-0500
18b61dd5aae8,16,wakeup,269856,2018-01-07T07:18:00-0500
18b61dd5aae8,17,onset,282864,2018-01-08T01:22:00-0500
18b61dd5aae8,17,wakeup,288924,2018-01-08T09:47:00-0500
18b61dd5aae8,18,onset,297984,2018-01-08T22:22:00-0500
18b61dd5aae8,18,wakeup,302712,2018-01-09T04:56:00-0500
18b61dd5aae8,19,onset,315420,2018-01-09T22:35:00-0500
18b61dd5aae8,19,wakeup,319812,2018-01-10T04:41:00-0500
18b61dd5aae8,20,onset,333432,2018-01-10T23:36:00-0500
18b61dd5aae8,20,wakeup,337536,2018-01-11T05:18:00-0500
18b61dd5aae8,21,onset,349104,2018-01-11T21:22:00-0500
18b61dd5aae8,21,wakeup,356664,2018-01-12T07:52:00-0500
18b61dd5aae8,22,onset,367200,2018-01-12T22:30:00-0500
18b61dd5aae8,22,wakeup,373500,2018-01-13T07:15:00-0500
18b61dd5aae8,23,onset,383256,2018-01-13T20:48:00-0500
18b61dd5aae8,23,wakeup,391176,2018-01-14T07:48:00-0500
18b61dd5aae8,24,onset,400356,2018-01-14T20:33:00-0500
18b61dd5aae8,24,wakeup,406404,2018-01-15T04:57:00-0500
18b61dd5aae8,25,onset,418128,2018-01-15T21:14:00-0500
18b61dd5aae8,25,wakeup,423624,2018-01-16T04:52:00-0500
18b61dd5aae8,26,onset,435816,2018-01-16T21:48:00-0500
18b61dd5aae8,26,wakeup,440952,2018-01-17T04:56:00-0500
18b61dd5aae8,27,onset,453960,2018-01-17T23:00:00-0500
18b61dd5aae8,27,wakeup,458232,2018-01-18T04:56:00-0500
18b61dd5aae8,28,onset,471348,2018-01-18T23:09:00-0500
18b61dd5aae8,28,wakeup,475320,2018-01-19T04:40:00-0500
18b61dd5aae8,29,onset,489324,2018-01-20T00:07:00-0500
18b61dd5aae8,29,wakeup,495048,2018-01-20T08:04:00-0500
29c75c018220,1,onset,8100,2018-04-04T23:45:00-0400
29c75c018220,1,wakeup,13416,2018-04-05T07:08:00-0400
29c75c018220,2,onset,25152,2018-04-05T23:26:00-0400
29c75c018220,2,wakeup,30600,2018-04-06T07:00:00-0400
29c75c018220,3,onset,42564,2018-04-06T23:37:00-0400
29c75c018220,3,wakeup,47520,2018-04-07T06:30:00-0400
29c75c018220,4,onset,60516,2018-04-08T00:33:00-0400
29c75c018220,4,wakeup,65520,2018-04-08T07:30:00-0400
29c75c018220,5,onset,77772,2018-04-09T00:31:00-0400
29c75c018220,5,wakeup,83460,2018-04-09T08:25:00-0400
29c75c018220,6,onset,92988,2018-04-09T21:39:00-0400
29c75c018220,6,wakeup,99360,2018-04-10T06:30:00-0400
29c75c018220,7,onset,112176,2018-04-11T00:18:00-0400
29c75c018220,7,wakeup,117000,2018-04-11T07:00:00-0400
29c75c018220,8,onset,128712,2018-04-11T23:16:00-0400
29c75c018220,8,wakeup,134280,2018-04-12T07:00:00-0400
29c75c018220,9,onset,146760,2018-04-13T00:20:00-0400
29c75c018220,9,wakeup,151512,2018-04-13T06:56:00-0400
29c75c018220,10,onset,162900,2018-04-13T22:45:00-0400
29c75c018220,10,wakeup,168840,2018-04-14T07:00:00-0400
29c75c018220,11,onset,181908,2018-04-15T01:09:00-0400
29c75c018220,11,wakeup,185784,2018-04-15T06:32:00-0400
29c75c018220,12,onset,198360,2018-04-16T00:00:00-0400
29c75c018220,12,wakeup,203496,2018-04-16T07:08:00-0400
29c75c018220,13,onset,215364,2018-04-16T23:37:00-0400
29c75c018220,13,wakeup,220728,2018-04-17T07:04:00-0400
29c75c018220,14,onset,231792,2018-04-17T22:26:00-0400
29c75c018220,14,wakeup,237960,2018-04-18T07:00:00-0400
29c75c018220,15,onset,251496,2018-04-19T01:48:00-0400
29c75c018220,15,wakeup,255324,2018-04-19T07:07:00-0400
29c75c018220,16,onset,266040,2018-04-19T22:00:00-0400
29c75c018220,16,wakeup,272292,2018-04-20T06:41:00-0400
29c75c018220,17,onset,285540,2018-04-21T01:05:00-0400
29c75c018220,17,wakeup,289380,2018-04-21T06:25:00-0400
29c75c018220,18,onset,302868,2018-04-22T01:09:00-0400
29c75c018220,18,wakeup,306852,2018-04-22T06:41:00-0400
29c75c018220,19,onset,319320,2018-04-23T00:00:00-0400
29c75c018220,19,wakeup,324360,2018-04-23T07:00:00-0400
29c75c018220,20,onset,335220,2018-04-23T22:05:00-0400
29c75c018220,20,wakeup,341676,2018-04-24T07:03:00-0400
29c75c018220,21,onset,353340,2018-04-24T23:15:00-0400
29c75c018220,21,wakeup,359040,2018-04-25T07:10:00-0400
29c75c018220,22,onset,370980,2018-04-25T23:45:00-0400
29c75c018220,22,wakeup,376200,2018-04-26T07:00:00-0400
29c75c018220,23,onset,390216,2018-04-27T02:28:00-0400
29c75c018220,23,wakeup,393624,2018-04-27T07:12:00-0400
29c75c018220,24,onset,405192,2018-04-27T23:16:00-0400
29c75c018220,24,wakeup,410856,2018-04-28T07:08:00-0400
29c75c018220,25,onset,422532,2018-04-28T23:21:00-0400
29c75c018220,25,wakeup,428340,2018-04-29T07:25:00-0400
29c75c018220,26,onset,440256,2018-04-29T23:58:00-0400
29c75c018220,26,wakeup,445440,2018-04-30T07:10:00-0400
